COUNTRY.ID,TIME_PERIOD,OBS_VALUE
MEX,2002,8.25
MEX,2003,6.12
MEX,2004,8.75
MEX,2005,8.27
MEX,2006,7.02
MEX,2007,7.57
MEX,2008,8.25
MEX,2009,4.5
MEX,2010,4.5
MEX,2011,4.5
MEX,2012,4.5
MEX,2013,3.5
MEX,2014,3
MEX,2015,3.25
MEX,2016,5.75
MEX,2017,7.25
MEX,2018,8.25
MEX,2019,7.25
MEX,2020,4.25
MEX,2021,5.5
MEX,2022,10.5
MEX,2023,11.25
MEX,2024,10
MYS,2002,5
MYS,2003,4.5
MYS,2004,2.7
MYS,2005,3
MYS,2006,3.5
MYS,2007,3.5
MYS,2008,3.25
MYS,2009,2
MYS,2010,2.75
MYS,2011,3
MYS,2012,3
MYS,2013,3
MYS,2014,3.25
MYS,2015,3.25
MYS,2016,3
MYS,2017,3
MYS,2018,3.25
MYS,2019,3
MYS,2020,1.75
MYS,2021,1.75
MYS,2022,2.75
MYS,2023,3
MYS,2024,3
BLZ,1979,10
BLZ,1980,14
BLZ,1981,14.5
BLZ,1982,13.5
BLZ,1983,11.5
BLZ,1984,12
BLZ,1985,20
BLZ,1986,12
BLZ,1987,12
BLZ,1988,10
BLZ,1989,12
BLZ,1990,12
BLZ,1991,12
BLZ,1992,12
BLZ,1993,12
BLZ,1994,11
BLZ,1995,11
BLZ,1996,11
BLZ,1997,11
BLZ,1998,11
BLZ,1999,11
BLZ,2000,11
BLZ,2001,11
BLZ,2002,11
BLZ,2003,11
BLZ,2004,18
BLZ,2005,18
BLZ,2006,18
BLZ,2007,18
BLZ,2008,18
BLZ,2009,18
BLZ,2010,18
BLZ,2011,11
BLZ,2012,11
BLZ,2013,11
BLZ,2014,11
BLZ,2015,11
BLZ,2016,11
BLZ,2017,11
BLZ,2018,11
BLZ,2019,11
BLZ,2020,11
BLZ,2021,11
BLZ,2022,11
BLZ,2023,11
BLZ,2024,11
AFG,2015,1.8
AFG,2016,1.82
AFG,2017,0.16
AFG,2018,0.152
AFG,2019,0.5
AFG,2020,0.807
ISR,1995,14.2
ISR,1996,15.2
ISR,1997,13.4
ISR,1998,13.5
ISR,1999,11.2
ISR,2000,8.2
ISR,2001,5.6571
ISR,2002,9.1
ISR,2003,5.2
ISR,2004,3.9
ISR,2005,4.5
ISR,2006,5
ISR,2007,4
ISR,2008,2.5
ISR,2009,1
ISR,2010,2
ISR,2011,2.75
ISR,2012,2
ISR,2013,1
ISR,2014,0.25
ISR,2015,0.099999964
ISR,2016,0.099999979
ISR,2017,0.1
ISR,2018,0.25
ISR,2019,0.25
ISR,2020,0.1
ISR,2021,0.1
ISR,2022,3.25
ISR,2023,4.75
ISR,2024,4.5
COL,1996,33
COL,1997,27
COL,1998,26
COL,1999,12
COL,2000,12
COL,2001,8.5
COL,2002,5.25
COL,2003,7.25
COL,2004,6.5
COL,2005,6
COL,2006,7.5
COL,2007,9.5
COL,2008,9.5
COL,2009,3.5
COL,2010,3
COL,2011,4.75
COL,2012,4.25
COL,2013,3.25
COL,2014,4.5
COL,2015,5.75
COL,2016,7.5
COL,2017,4.75
COL,2018,4.25
COL,2019,4.25
COL,2020,1.75
COL,2021,3
COL,2022,12
COL,2023,13
COL,2024,9.5
TUR,1987,42.36
TUR,1988,46.77
TUR,1989,26.87
TUR,1990,62.72
TUR,1991,59.87
TUR,1992,67.77
TUR,1993,69.63
TUR,1994,92.04
TUR,1995,106.31
TUR,1996,73.99
TUR,1997,78.04
TUR,1998,78.97
TUR,1999,69.97
TUR,2000,183.2
TUR,2001,59
TUR,2002,44
TUR,2003,26
TUR,2004,18
TUR,2005,13.5
TUR,2006,17.5
TUR,2007,15.96
TUR,2008,15.63
TUR,2009,6.5
TUR,2010,1.63044
TUR,2011,5
TUR,2012,5
TUR,2013,3.5
TUR,2014,7.5
TUR,2015,7.25
TUR,2016,7.25
TUR,2017,7.25
TUR,2018,22.5
TUR,2019,10.5
TUR,2020,15.5
TUR,2021,12.5
TUR,2022,7.5
TUR,2023,41
TUR,2024,46
CAN,1993,4
CAN,1994,5.69
CAN,1995,5.78
CAN,1996,3
CAN,1997,4.25
CAN,1998,5
CAN,1999,4.75
CAN,2000,5.75
CAN,2001,2.25
CAN,2002,2.75
CAN,2003,2.75
CAN,2004,2.5
CAN,2005,3.25
CAN,2006,4.25
CAN,2007,4.25
CAN,2008,1.5
CAN,2009,0.25
CAN,2010,1
CAN,2011,1
CAN,2012,1
CAN,2013,1
CAN,2014,1
CAN,2015,0.5
CAN,2016,0.5
CAN,2017,1
CAN,2018,1.75
CAN,2019,1.75
CAN,2020,0.25
CAN,2021,0.25
CAN,2022,4.25
CAN,2023,5
CAN,2024,3.25
GEO,2008,8
GEO,2009,5
GEO,2010,7.5
GEO,2011,6.75
GEO,2012,5.25
